year,number,author_name,author_id
2018,09,Adam Jaffe,adam-jaffe
2018,09,Kate Preston,kate-preston
2018,08,Isabelle Sin,isabelle-sin
2018,07,Arthur Grimes,arthur-grimes
2018,06,Arthur Grimes,arthur-grimes
2018,05,Anne-Marie Brook,anne-marie-brook
2018,03,Isabelle Sin,isabelle-sin
2018,03,Dave Maré,dave-mare
2018,03,Eyal Apatov,eyal-apatov
2018,02,Adam Jaffe,adam-jaffe
2018,02,Nathan Chappell,nathan-chappell
2018,01,Richard Harris,richard-harris
2018,01,Trinh Le,trinh-le
2017,15,Isabelle Sin,isabelle-sin
2017,15,Steven Stillman,steven-stillman
2017,15,Richard Fabling,richard-fabling
2017,14,Robert MacCulloch,robert-macculloch
2017,13,David Fleming,david-fleming
2017,13,Dave Maré,dave-mare
2017,13,Arthur Grimes,arthur-grimes
2017,12,Dean Hyslop,dean-hyslop
2017,12,Wilbur Townsend,wilbur-townsend
2017,11,Tom Carver,tom-carver
2017,11,Patrick Dawson,patrick-dawson
2017,11,Suzi Kerr,suzi-kerr
2017,10,Edmund Lou,edmund-lou
2017,10,Levente Timar,levente-timar
2017,10,Suzi Kerr,suzi-kerr
2017,09,Andrew Coleman,andrew-coleman
2017,08,Kate Preston,kate-preston
2017,08,Arthur Grimes,arthur-grimes
2017,07,Judd Ormsby,judd-ormsby
2017,07,Kate Preston,kate-preston
2017,07,Arthur Grimes,arthur-grimes
2017,06,Catherine Leining,catherine-leining
2017,06,Judd Ormsby,judd-ormsby
2017,06,Suzi Kerr,suzi-kerr
2017,05,Catherine Leining,catherine-leining
2017,05,Corey Allan,corey-allan
2017,05,Suzi Kerr,suzi-kerr
2017,04,Trinh Le,trinh-le
2017,04,Richard Fabling,richard-fabling
2017,04,Dave Maré,dave-mare
2017,04,Nathan Chappell,nathan-chappell
2017,03,Wilbur Townsend,wilbur-townsend
2017,03,Arthur Grimes,arthur-grimes
2017,02,Jacques Poot,jacques-poot
2017,02,Dave Maré,dave-mare
2017,01,Tom Carver,tom-carver
2017,01,Suzi Kerr,suzi-kerr
2016,22,Richard Fabling,richard-fabling
2016,22,Arthur Grimes,arthur-grimes
2016,21,Dave Maré,dave-mare
2016,20,Corey Allan,corey-allan
2016,20,Suzi Kerr,suzi-kerr
2016,19,Dean Hyslop,dean-hyslop
2016,19,Wilbur Townsend,wilbur-townsend
2016,18,Dean Hyslop,dean-hyslop
2016,18,Wilbur Townsend,wilbur-townsend
2016,17,Anna Robinson,anna-robinson
2016,17,Suzi Kerr,suzi-kerr
2016,16,Suzi Kerr,suzi-kerr
2016,15,Levente Timar,levente-timar
2016,14,Adam Jaffe,adam-jaffe
2016,14,Nathan Chappell,nathan-chappell
2016,13,Judd Ormsby,judd-ormsby
2016,13,Suzi Kerr,suzi-kerr
2016,12,Tom Carver,tom-carver
2016,12,Arthur Grimes,arthur-grimes
2016,11,Eyal Apatov,eyal-apatov
2016,11,Arthur Grimes,arthur-grimes
2016,10,Isabelle Sin,isabelle-sin
2016,10,Nathan Chappell,nathan-chappell
