paper,title,area
03-02,Evaluating the New Zealand Individual Transferable Quota Market for Fisheries Management,environment-and-resources
03-03,Do Lower Expected Wage Benefits Explain Ethnic Gaps in Job-Related Training? Evidence from New Zealand,population-and-labour
03-04,Joint Implementation in Climate Change Policy,environment-and-resources
03-05,"Motu, Excellence in Economic Research and the Challenges of “Human Dimensions” Research",population-and-labour
03-06,Carbon Dynamics and Land-Use Choices: Building a Regional-Scale Multidisciplinary Model,environment-and-resources
03-07,Moving to Jobs,population-and-labour
03-09,Housing and Economic Adjustment,urban-and-regional
03-10,Economic Growth and the Size and Structure of Government: Implications for New Zealand,wellbeing-and-macroeconomics
03-12,Efficient Contracts For Carbon Credits From Reforestation Projects,environment-and-resources
03-13,Movements Into And Out Of Child Poverty In New Zealand: Results From The Linked Income Supplement,population-and-labour
03-14,"Would Adopting the US Dollar Have Led to Improved Inflation, Output and Trade Balances for New Zealand in the 1990s?",wellbeing-and-macroeconomics
03-15,Indigenous Forests and Forest Sink Policy in New Zealand,environment-and-resources
03-16,Understanding New Zealand’s Changing Income Distribution 1983-98: A Semiparametric Analysis,population-and-labour
03-17,"Migration and the Environment in the Galapagos: An Analysis of Economic and Policy Incentives Driving Migration, Potential Impacts from Migration Control, and Potential Policies to Reduce Migration Pressure",environment-and-resources
03-18,Insolvency and Economic Development: Regional Variation and Adjustment,urban-and-regional
03-19,Ideas for Growth?,productivity-and-innovation
04-01,Land Taxes and Revenue Needs as Communities Grow and Decline: Evidence from New Zealand,wellbeing-and-macroeconomics
04-02,"House Price Efficiency: Expectations, Sales, Symmetry,",urban-and-regional
04-03,"Tropical Forest Protection, Uncertainty and Carbon Policy Integrity",environment-and-resources
04-04,What Do Endogenous Growth Models Contribute?,population-and-labour
04-05,Policy To Encourage Carbon Sequestration in Plantation Forests,environment-and-resources
04-06,Māori Incomes: Investigating Differences Between Iwi,population-and-labour
04-07,Quantifying Creative Destruction Entrepreneurship and Productivity in New Zealand,productivity-and-innovation
04-08,What’s the Beef with House Prices: Economic Shocks and Local Housing Markets,urban-and-regional
04-09,"Bi-Directional Impacts of Economic, Social and Environmental Changes and the New Zealand Housing Market",urban-and-regional
04-10,Regional Business Cycles in New Zealand: Do They Exist? What Might Drive Them?,urban-and-regional
04-11,New Zealand: A Typical Australasian Economy?,wellbeing-and-macroeconomics
04-12,Understanding Changes in Māori Incomes and Income Inequality 1997-2003,population-and-labour
05-01,Indirect Effects of Active Labour Market Policies,population-and-labour
05-02,Regional Variation in Rental Costs For Larger Households,urban-and-regional
05-03,Intra and Inter-Regional Industry Shocks: A New Metric with an Application to Australasian Currency Union,urban-and-regional
05-04,Regional and Industry Cycles in Australasia: Implications for a Common Currency,wellbeing-and-macroeconomics
05-05,The Geographical Mobility of Māori in New Zealand,population-and-labour
05-06,Changes in the Māori Income Distribution: Evidence from the Population Census,population-and-labour
05-07,Examining Changes in the Value of Rural Land in New Zealand between 1989 and 2003,environment-and-resources
05-08,The Likely Regional Impacts of an Agricultural Emissions Policy in New Zealand: Preliminary Analysis,environment-and-resources
05-09,Defining Geographic Communities,urban-and-regional
05-10,Greenhouse Gas Emission Factor Module: Land Use in Rural New Zealand - Climate Version 1,environment-and-resources
05-11,Is There Long-Run Convergence of Regional House Prices in the UK?,urban-and-regional
05-12,"Concentration, Specialisation and Agglomeration of firms in New Zealand",productivity-and-innovation
05-13,Māori Economic Development - Glimpses From Statistical Sources,population-and-labour
05-14,Is Infrastructure Productive? Evaluating the Effects of Specific Infrastructure Projects on Firm Productivity Within New Zealand,urban-and-regional
06-01,Housing Supply and Price Adjustment,urban-and-regional
06-02,How Important is Selection? Experimental Vs Non-experimental Measures of the Income Gains from Migration,population-and-labour
06-03,The Ups and Downs of New Zealand House Prices,urban-and-regional
06-04,Greenhouse Gas Emissions Charges and Credits on Agricultural Land: What Can a Model Tell Us?,environment-and-resources
06-05,Land-Use Intensity Module: Land Use in Rural New Zealand Version 1,environment-and-resources
06-06,Labour Market Outcomes for Young Graduates: Part A: Main Report and Part B: Field of Study Profiles,population-and-labour
06-07,Defining Areas: Linking Geographic Data in New Zealand,urban-and-regional
06-08,Geographic Concentration and Firm Productivity,productivity-and-innovation
06-09,Inequality and Health: Is Housing Crowding the Link?,population-and-labour
07-01,House Prices and Rents: Socio-Economic Impacts and Prospects,urban-and-regional
07-02,New Zealand’s Quota Management System: A History of the First 20 Years,environment-and-resources
07-03,Towards a Design For a Nutrient Trading Programme To Improve Water Quality in Lake Rotorua,environment-and-resources
07-04,An Auckland Land Value Annual Database,urban-and-regional
07-05,The Impact of Immigration on the Geographic Mobility of New Zealanders,population-and-labour
07-06,Nutrient Trading in Lake Rotorua: Where Are We Now?,environment-and-resources
07-07,The Land Use in Rural New Zealand Model Version 1 (LURNZv1): Model Description,environment-and-resources
07-08,Nutrient Trading in Lake Rotorua: Goals and Trading Caps,environment-and-resources
07-09,Spatial Determinants of Land Prices in Auckland: Does the Metropolitan Urban Limit Have an Effect,urban-and-regional
07-10,Adjustment in Local Labour and Housing Markets,urban-and-regional
07-11,Settlement Patterns and the Geographic Mobility of Recent Migrants to New Zealand,population-and-labour
07-12,What Explains the Wealth Gap Between Immigrants and the New Zealand Born?,population-and-labour
07-13,A Quarterly Post-World War II Real GDP Series for New Zealand,wellbeing-and-macroeconomics
08-01,ESSAM General Equilibrium Model: Estimation of 2005/06 Input-Output Tables,environment-and-resources
08-02,Nutrient Trading in Lake Rotorua: Overview of a Prototype System,environment-and-resources
08-03,Nutrient Trading in Lake Rotorua: Determining Net Nutrient Inputs,environment-and-resources
08-04,Inclusion of agriculture in a domestic emissions trading system: New Zealand’s experience to date,environment-and-resources
08-05,Nutrient Trading in Lake Rotorua: Choosing the Scope of a Nutrient Trading System,environment-and-resources
08-06,Housing Markets and Migration: Evidence from New Zealand,population-and-labour
08-07,Bridge to Somewhere: The Value of Auckland’s Northern Motorway Extensions,urban-and-regional
08-08,The Relative Size of New Zealand Exchange Rate and Interest Rate Responses to News,wellbeing-and-macroeconomics
08-09,Inflation and the Measurement of Saving and Housing Affordability,wellbeing-and-macroeconomics
08-10,"Water, Water Somewhere: The Value of Water in a Drought-Prone Farming Region",environment-and-resources
08-11,The Long-Run Impact of New Zealand’s Structural Reform on Local Communities,urban-and-regional
08-12,Labour Productivity in Auckland Firms,productivity-and-innovation
08-13,Storage Under Backwardation: A Direct Test of the Wright-Williams Conjecture,wellbeing-and-macroeconomics
08-14,"Tax, Credit Constraints, and the Big Costs of Small Inflation",wellbeing-and-macroeconomics
09-01,Who Pays What for Primary Health Care? Patterns and Determinants of the Fees Paid by Patients in a Mixed Public-Private Financing Model ,population-and-labour
09-02,"China’s Energy Economy: Technical Change, Factor Demand and Interfactor/Interfuel Substitution",environment-and-resources
09-03,Testing for Energy Market Integration in China,environment-and-resources
09-04,China’s Energy Situation and Its Implications in the New Millennium,environment-and-resources
09-05,"Trans-Tasman Migration, Transnationalism and Economic Development in Australasia",urban-and-regional
09-06,Agglomeration Elasticities in New Zealand,urban-and-regional
09-07,Variations in Earnings Growth: Evidence from Earnings Transitions in the NZ Linked Income Survey,population-and-labour
09-08,A Simple Model of Housing Rental and Ownership with Policy Simulations,urban-and-regional
09-09,Nutrient Trading in Lake Rotorua: Cost Sharing and Allowance Allocation,environment-and-resources
09-10,The Labour Market Adjustment of Immigrants in New Zealand,population-and-labour
09-11,The Impact of Immigration on the Labour Market Outcomes of New Zealanders,population-and-labour
09-12,Spatial Effects of ‘Mill’ Closures: Does Distance Matter?,urban-and-regional
09-13,The Long Term Effects of Capital Gains Taxes in New Zealand,wellbeing-and-macroeconomics
09-14,"Fiscal, Distributional and Efficiency Impacts of Land and Property Taxes",wellbeing-and-macroeconomics
09-15,The Need for Speed: Impacts of Internet Connectivity on Firm Productivity,productivity-and-innovation
09-16,Allocation of New Zealand Units within Agriculture in the New Zealand Emissions Trading System,environment-and-resources
09-17,How does Changing Land Cover and Land Use in New Zealand relate to Land Use Capability and Slope?,environment-and-resources
