year,number,url
2018,09,/our-work/productivity-and-innovation/science-and-innovation-policy/bibliometric-analysis-of-new-zealand-research-performance-measurement-and-classification-issues/
2018,08,/our-work/population-and-labour/individual-and-group-outcomes/parenthood-and-labour-market-outcomes/
2018,07,/our-work/wellbeing-and-macroeconomics/well-being-and-sustainability-measures/moving-towards-happiness/
2018,06,/our-work/wellbeing-and-macroeconomics/well-being-and-sustainability-measures/sustainable-economic-policy-and-well-being-the-relationship-between-adjusted-net-savings-and-subjective-well-being/
2018,05,/our-work/human-rights/hrmi-political-and-civil-rights-metrics-2018-technical-note/
2018,04,
2018,03,/our-work/population-and-labour/individual-and-group-outcomes/how-did-removing-student-allowances-for-postgraduate-study-affect-students-choices/
2018,02,/our-work/productivity-and-innovation/firm-productivity-and-performance/worker-flows-entry-and-productivity-in-new-zealands-construction-industry/
2018,01,/our-work/productivity-and-innovation/firm-productivity-and-performance/absorptive-capacity-in-new-zealand-firms-measurement-and-importance/
2017,15,/our-work/population-and-labour/individual-and-group-outcomes/what-drives-the-gender-wage-gap-examining-the-roles-of-sorting-productivity-differences-and-discrimination/
2017,14,/our-work/wellbeing-and-macroeconomics/well-being-and-sustainability-measures/how-political-systems-and-social-welfare-policies-affect-well-being-a-literature-review/
2017,13,/our-work/urban-and-regional/housing/valuing-sunshine/
2017,12,/our-work/population-and-labour/individual-and-group-outcomes/the-longer-term-impacts-of-job-displacement-on-labour-market-outcomes/
2017,11,/our-work/environment-and-resources/emission-mitigation/emissions-trading/including-forestry-in-an-emissions-trading-scheme-lessons-from-new-zealand/
2017,10,/our-work/environment-and-resources/agricultural-economics/agricultural-greenhouse-gas-emissions/modelling-the-potential-impact-of-new-zealands-freshwater-reforms-on-land-based-greenhouse-gas-emissions/
2017,09,/our-work/wellbeing-and-macroeconomics/fiscal-issues/housing-the-great-income-tax-experiment-and-the-intergenerational-consequences-of-the-lease/
2017,08,/our-work/wellbeing-and-macroeconomics/well-being-and-sustainability-measures/migration-and-gender-who-gains-and-in-which-ways/
2017,07,/our-work/wellbeing-and-macroeconomics/well-being-and-sustainability-measures/wages-wellbeing-and-location-slaving-away-in-sydney-or-cruising-on-the-gold-coast/
2017,06,/our-work/environment-and-resources/emission-mitigation/emissions-trading/evolution-of-the-new-zealand-emissions-trading-scheme-linking/
2017,05,/our-work/environment-and-resources/emission-mitigation/emissions-trading/evolution-of-the-new-zealand-emissions-trading-scheme-sectoral-coverage-and-point-of-obligation/
2017,04,/our-work/productivity-and-innovation/education-and-skills/productivity-and-the-allocation-of-skills/
2017,03,/our-work/urban-and-regional/infrastructure/the-effect-of-fibre-broadband-on-student-learning/
2017,02,/our-work/population-and-labour/individual-and-group-outcomes/more-pensioners-less-income-inequality/
2017,01,/our-work/environment-and-resources/emission-mitigation/emissions-trading/facilitating-carbon-offsets-from-native-forests/
2016,22,/our-work/productivity-and-innovation/firm-productivity-and-performance/picking-up-speed-does-ultrafast-broadband-increase-firm-productivity/
2016,21,/our-work/productivity-and-innovation/firm-productivity-and-performance/urban-productivity-estimation-with-heterogeneous-prices-and-labour/
2016,20,/our-work/environment-and-resources/emission-mitigation/shaping-new-zealands-low-emissions-future/whos-going-green-decomposing-the-change-in-household-consumption-emissions-2006-2012/
2016,19,/our-work/population-and-labour/individual-and-group-outcomes/employment-misclassification-in-survey-and-administrative-reports/
2016,18,/our-work/population-and-labour/individual-and-group-outcomes/earnings-dynamics-and-measurement-error-in-matched-survey-and-administrative-data/
2016,17,/our-work/environment-and-resources/agricultural-economics/agricultural-greenhouse-gas-emissions/cows-sheep-and-science-a-scientific-perspective-on-biological-emissions-from-agriculture/
2016,16,/our-work/environment-and-resources/agricultural-economics/agricultural-greenhouse-gas-emissions/agricultural-emissions-mitigation-in-new-zealand-answers-to-questions-from-the-parliamentary-commisioner-for-the-environment/
2016,15,/our-work/environment-and-resources/lurnz/yield-to-change-modelling-the-land-use-response-to-climate-driven-changes-in-pasture-production/
2016,14,/our-work/productivity-and-innovation/firm-productivity-and-performance/intangible-investment-and-firm-performance/
2016,13,/our-work/environment-and-resources/emission-mitigation/emissions-trading/the-new-zealand-emissions-trading-scheme-de-link-from-kyoto-impacts-on-banking-and-prices/
2016,12,/our-work/wellbeing-and-macroeconomics/well-being-and-sustainability-measures/income-or-consumption-which-better-predicts-subjective-wellbeing/
2016,11,/our-work/urban-and-regional/infrastructure/higher-education-institutions-and-regional-growth-the-case-of-new-zealand/
2016,10,/our-work/population-and-labour/individual-and-group-outcomes/the-effect-of-trial-periods-in-employment-on-firm-hiring-behaviour/
2016,09,/our-work/environment-and-resources/lurnz/does-money-grow-on-trees-mitigation-under-climate-policy-in-a-heterogeneous-sheep-beef-sector/
2016,08,/our-work/productivity-and-innovation/firm-productivity-and-performance/productivity-distribution-and-drivers-of-productivity-growth-in-the-construction-industry/
2016,07,/our-work/population-and-labour/individual-and-group-outcomes/labour-market-dynamics-following-a-regional-disaster/
2016,06,/our-work/environment-and-resources/emission-mitigation/emissions-trading/lessons-learned-from-the-new-zealand-emissions-trading-scheme/
2016,05,/our-work/wellbeing-and-macroeconomics/well-being-and-sustainability-measures/subjective-wellbeing-impacts-of-national-and-subnational-fiscal-policies/
2016,04,/our-work/urban-and-regional/housing/two-countries-sixteen-cities-five-thousand-kilometres-how-many-housing-markets/
2016,03,/our-work/productivity-and-innovation/firm-productivity-and-performance/a-rough-guide-to-new-zealands-longitudinal-business-database-2nd-edition/
2016,02,/our-work/wellbeing-and-macroeconomics/well-being-and-sustainability-measures/can-happiness-data-help-evaluate-economic-policies/
2016,01,/our-work/population-and-labour/individual-and-group-outcomes/the-specification-of-dynamic-discrete-time-two-state-panel-data-models/
2015,20,/our-work/population-and-labour/migration/residential-assimilation-of-immigrants-a-cohort-approach/
2015,19,/our-work/urban-and-regional/housing/before-a-fall-impacts-of-earthquake-regulation-and-building-codes-on-the-commercial-building-market/
2015,18,/our-work/population-and-labour/firm-performance-and-labour-dynamics/firm-productivity-growth-and-skill/
2015,17,/our-work/productivity-and-innovation/firm-productivity-and-performance/addressing-the-absence-of-hours-information-in-linked-employer-employee-data/
2015,16,/our-work/environment-and-resources/lurnz/predicting-harvestability-of-existing-pinus-radiata-stands-2013-2030-projections-of-stumpage-profits-from-pre-90-and-post-89-forests/
2015,15,/our-work/productivity-and-innovation/firm-productivity-and-performance/production-function-estimation-using-new-zealands-longitudinal-business-database/
2015,14,/our-work/wellbeing-and-macroeconomics/well-being-and-sustainability-measures/indigenous-belief-in-a-just-world/
2015,13,/our-work/productivity-and-innovation/firm-productivity-and-performance/agricultural-productivity-in-new-zealand-first-estimates-from-the-longitudinal-business-database/
2015,12,/our-work/productivity-and-innovation/science-and-innovation-policy/the-effect-of-public-funding-on-research-output-the-new-zealand-marsden-fund/
2015,11,/our-work/environment-and-resources/emission-mitigation/emissions-trading/methane-and-metrics/
2015,10,/our-work/wellbeing-and-macroeconomics/well-being-and-sustainability-measures/relative-income-and-subjective-wellbeing/
2015,09,/our-work/wellbeing-and-macroeconomics/well-being-and-sustainability-measures/a-new-cross-country-measure-of-material-wellbeing-and-inequality/
2015,08,/our-work/productivity-and-innovation/firm-productivity-and-performance/the-impact-of-r-and-d-subsidy-on-innovation-a-study-of-new-zealand-firms/
2015,07,/our-work/environment-and-resources/nutrient-trading-and-water-quality/nitrogen-trading-in-lake-taupo-an-analysis-and-evaluation-of-an-innovative-water-management-policy/
2015,06,/our-work/environment-and-resources/emission-mitigation/shaping-new-zealands-low-emissions-future/are-we-turning-a-brighter-shade-of-green/
2015,05,/our-work/wellbeing-and-macroeconomics/economic-performance/exchange-rate-fluctuations-and-the-margins-of-exports/
2015,04,/our-work/wellbeing-and-macroeconomics/fiscal-issues/the-impact-of-tax-changes-on-the-short-run-investment-behaviour-of-new-zealand-firms/
2015,03,/our-work/population-and-labour/individual-and-group-outcomes/economic-liberalisation-and-the-mobility-of-minority-groups-evidence-from-maori-in-new-zealand/
2015,02,/our-work/urban-and-regional/housing/impacts-of-planning-rules/
2015,01,/our-work/productivity-and-innovation/firm-productivity-and-performance/are-patent-fees-effective-at-weeding-out-low-quality-patents/
2014,15,/our-work/population-and-labour/migration/exporting-innovation-and-the-role-of-immigrants/
2014,14,/our-work/population-and-labour/migration/hiring-new-ideas-international-migration-and-firm-innovation-in-new-zealand/
2014,13,/our-work/urban-and-regional/housing/that-sinking-feeling-the-changing-price-of-disaster-risk-following-an-earthquake/
2014,12,/our-work/environment-and-resources/lurnz/modelling-changing-rural-land-use-in-new-zealand-1997-to-2008-using-a-multinomial-logit-approach/
2014,11,/our-work/urban-and-regional/infrastructure/infrastructures-long-lived-impact-on-urban-development-theory-and-empirics/
2014,10,/our-work/population-and-labour/firm-performance-and-labour-dynamics/earnings-and-employment-in-foreign-owned-firms-2/
2014,09,/our-work/environment-and-resources/emission-mitigation/emissions-trading/going-to-the-source-using-an-upstream-point-of-regulation-for-energy-in-a-national-chinese-emissions-trading-system-2/
2014,08,/our-work/productivity-and-innovation/firm-productivity-and-performance/natural-selection-firm-performance-following-the-canterbury-earthquakes/
2014,07,/our-work/environment-and-resources/lurnz/land-use-in-rural-new-zealand-spatial-land-use-land-use-change-and-model-validation/
2014,06,/our-work/wellbeing-and-macroeconomics/well-being-and-sustainability-measures/culture-beliefs-and-economic-performance/
2014,05,/our-work/environment-and-resources/emission-mitigation/emissions-trading/greenhouse-gas-emissions-in-new-zealand-a-preliminary-consumption-based-analysis/
2014,04,/our-work/productivity-and-innovation/science-and-innovation-policy/diffusion-of-green-technology-a-survey/
2014,03,/our-work/environment-and-resources/lurnz/land-use-intensity-and-greenhouse-gas-emissions-in-the-lurnz-model/
2014,02,/our-work/wellbeing-and-macroeconomics/money-and-banking/four-lectures-on-central-banking/
2014,01,/our-work/population-and-labour/firm-performance-and-labour-dynamics/over-the-hedge-do-exporters-practice-selective-hedging/
2013,14,/our-work/wellbeing-and-macroeconomics/fiscal-issues/estimating-firm-level-effective-marginal-tax-rates-and-the-user-cost-of-capital-in-new-zealand/
2013,13,/our-work/environment-and-resources/nutrient-trading-and-water-quality/managing-risks-and-tradeoffs-using-water-markets/
2013,12,/our-work/urban-and-regional/housing/housing-market-dynamics-and-the-gfc/
2013,11,/our-work/environment-and-resources/agricultural-economics/agricultural-greenhouse-gas-emissions/mitigation-and-heterogeneity-in-management-practices-on-new-zealand-dairy-farms/
2013,10,/our-work/wellbeing-and-macroeconomics/economic-performance/passing-the-buck-impacts-of-commodity-price-shocks-on-local-outcomes/
2013,09,/our-work/wellbeing-and-macroeconomics/well-being-and-sustainability-measures/value-and-culture/
2013,08,/our-work/population-and-labour/firm-performance-and-labour-dynamics/the-incidence-and-persistence-of-cyclical-job-loss-in-new-zealand/
2013,07,/our-work/population-and-labour/individual-and-group-outcomes/a-new-zealand-urban-population-database/
2013,06,/our-work/population-and-labour/firm-performance-and-labour-dynamics/firm-level-hiring-difficulties-persistence-business-cycle-and-local-labour-market-influences/
2013,05,/our-work/population-and-labour/firm-performance-and-labour-dynamics/the-impact-of-wage-subsidies-on-jobseekers-outcomes-and-firm-employment/
2013,04,/our-work/population-and-labour/longitudinal-household-survey/investigation-of-options-for-a-new-longitudinal-household-survey-issues-and-options-paper/
2013,03,/our-work/population-and-labour/individual-and-group-outcomes/the-costs-of-involuntary-job-loss/
2013,02,/our-work/urban-and-regional/regions/a-new-zealand-regional-housing-model/
2013,01,/our-work/wellbeing-and-macroeconomics/money-and-banking/export-performance-invoice-currency-and-heterogeneous-exchange-rate-pass-through/
2012,14,/our-work/environment-and-resources/emission-mitigation/emissions-trading/roadmap-for-implementing-a-greenhouse-gas-emissions-trading-system-in-chile-core-design-options-and-policy-decision-making-considerations/
2012,13,/our-work/population-and-labour/individual-and-group-outcomes/performance-pay-systems-and-the-gender-wage-gap/
2012,12,/our-work/environment-and-resources/emission-mitigation/tropical-deforestation/the-economics-of-international-policy-agreements-to-reduce-emissions-from-deforestation-and-degradation/
2012,11,/our-work/population-and-labour/individual-and-group-outcomes/pension-payments-and-receipts-by-new-zealand-birth-cohorts-1916-1986/
2012,10,/our-work/environment-and-resources/agricultural-economics/agricultural-greenhouse-gas-emissions/spatial-and-temporal-responses-to-an-emissions-trading-system-covering-agriculture-and-forestry-simulation-results-from-new-zealand/
